,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
5,Alexandre Lacazette,59966,1,100.0,[1.135325446197484],8.1
18,Edward Nketiah,205533,1,,[-0.2343683608735947],5.4
54,Wesley Moraes,213345,2,0.0,[-0.04560922452203342],6.0
55,Mbwana Samatta,217487,2,0.0,[-0.04560922452203342],5.9
56,Keinan Davis,221239,2,100.0,[-0.3050354529670398],4.3
57,Indiana Vassilev,223349,2,0.0,[-0.04560922452203342],4.3
61,Ollie Watkins,178301,2,,[2.8469623728318245],6.5
67,Glenn Murray,20529,3,0.0,[-0.20766565088990863],4.8
76,Florin Andone,93284,3,0.0,[-0.20766565088990863],4.8
80,Neal Maupay,115382,3,100.0,[1.0553578972952267],6.1
89,Aaron Connolly,233425,3,100.0,[0.9267623138645986],5.2
95,Andi Zeqiri,204676,3,,[-0.06018095693349235],5.0
96,Danny Welbeck,50175,3,100.0,[0.9038244235952859],5.5
113,Jay Rodriguez,44683,4,100.0,[2.1395591044980726],5.8
114,Ashley Barnes,44699,4,25.0,[0.43513537482374764],6.0
118,Chris Wood,60689,4,75.0,[2.816619858073211],6.2
120,Matej Vydra,81183,4,100.0,[0.4080073162687927],4.8
134,Max Thompson,461450,4,,[0.06712568077735792],4.5
135,Lewis Richardson,461096,4,,[0.06712568077735792],4.5
137,Joel Mumbongo,430367,4,,[0.039169757596270616],4.5
141,Olivier Giroud,44346,5,100.0,[-0.00552562980217397],6.7
152,Timo Werner,165153,5,100.0,[3.776099696347214],9.2
153,Tammy Abraham,173879,5,100.0,[1.3882160555772123],7.1
166,Michy Batshuayi,94245,6,100.0,[1.2320010766171865],5.7
174,Christian Benteke,54861,6,100.0,[0.33058222456618624],5.5
178,Connor Wickham,59125,6,25.0,[-0.12311447191536495],4.4
182,Jordan Ayew,80146,6,100.0,[2.9075422793968064],5.6
197,Jean-Philippe Mateta,231747,6,100.0,[1.095796286320798],5.8
202,Cenk Tosun,66838,7,0.0,[-0.38794728006217394],6.0
213,Dominic Calvert-Lewin,177815,7,100.0,[3.0534523873839827],7.7
215,Richarlison de Andrade,212319,7,100.0,[3.3424208399059356],7.9
218,Moise Kean,242058,7,0.0,[0.06082461625825153],5.7
226,Ellis Simms,218997,7,0.0,[-0.12311447191536495],4.5
228,Joshua King,78007,7,,[0.14146378568486662],5.4
240,Bobby Decordova-Reid,96994,8,100.0,[1.794319593191889],5.3
243,Aleksandar Mitrović,128389,8,100.0,[0.7456755800309567],5.5
263,Josh Maja,195480,8,,[1.5677969082960515],5.5
272,Jamie Vardy,101668,9,100.0,[4.506524007384172],10.1
