,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
1,Sokratis Papastathopoulos,39476,1,0.0,[-0.2699908822666468],4.8
2,David Luiz Moreira Marinho,41270,1,100.0,[1.1693368904403552],5.4
4,Cédric Soares,58822,1,100.0,[0.7662822749268803],4.6
6,Shkodran Mustafi,69140,1,0.0,[-0.1034843151894882],5.0
9,Pablo Marí,92371,1,100.0,[0.39976359182782595],4.4
10,Héctor Bellerín,98745,1,100.0,[3.041270137417604],5.1
11,Calum Chambers,101184,1,100.0,[-0.2699908822666468],4.5
12,Sead Kolasinac,111457,1,0.0,[-0.2114922137490427],4.8
13,Rob Holding,156074,1,100.0,[3.203752887145148],4.5
14,Kieran Tierney,192895,1,100.0,[2.725876255424871],5.2
23,William Saliba,462424,1,0.0,[-0.2699908822666468],4.0
26,Gabriel Magalhães,226597,1,100.0,[2.210040634766191],5.0
35,Ahmed El Mohamady,37339,2,,[0.5621331913648109],4.3
37,Neil Taylor,47390,2,,[0.04743061155894468],4.2
42,Bjorn Engels,108156,2,100.0,[0.017820869825141195],4.4
45,Kortney Hause,123354,2,0.0,[1.3292211112748835],4.4
47,Tyrone Mings,149484,2,100.0,[4.977380446944332],5.4
48,Matt Targett,169359,2,,[5.077166837298867],4.9
49,James Bree,184386,2,0.0,[0.017820869825141195],4.5
52,Ezri Konsa Ngoyo,199798,2,100.0,[4.6596092783558705],4.6
53,Frédéric Guilbert,203368,2,0.0,[0.017820869825141195],4.3
60,Matthew Cash,199796,2,0.0,[4.514473751313384],5.0
70,Shane Duffy,61933,3,0.0,[0.3330432649732895],4.3
73,Dan Burn,78916,3,,[1.9111159569735592],4.2
74,Lewis Dunk,83299,3,100.0,[4.677831274378911],4.9
75,Martín Montoya,86153,3,0.0,[0.3330432649732895],4.5
78,Adam Webster,110735,3,0.0,[3.557172794841241],4.3
79,Joël Veltman,111478,3,100.0,[3.373340504268506],4.3
84,Matthew Clarke,178173,3,0.0,[0.3330432649732895],4.4
85,Ben White,198869,3,100.0,[4.281488495280393],4.4
86,Bernardo Fernandes da Silva Junior,209362,3,0.0,[0.5431789535565543],3.9
