,ID,Away Team,Home Team
0,229,10,1
1,230,2,3
2,231,14,5
3,232,4,6
4,233,8,7
5,234,11,9
6,235,17,12
7,236,20,16
8,237,13,18
9,238,15,19
10,239,12,1
11,240,9,2
12,241,6,3
13,242,18,4
14,243,15,8
15,244,7,11
16,245,14,13
17,246,5,16
18,247,17,19
19,248,10,20
20,249,13,5
21,250,8,6
22,251,16,7
23,252,2,10
24,253,1,9
25,254,19,12
26,255,20,14
27,256,11,15
28,257,4,17
29,258,3,18
30,259,20,2
31,260,9,3
32,261,1,4
33,262,7,5
34,263,8,11
35,264,13,12
36,265,16,15
37,266,6,17
38,267,14,18
39,268,10,19
40,269,17,1
41,270,18,6
42,271,4,7
43,272,12,8
44,273,5,10
45,274,15,9
46,275,19,13
47,276,2,14
48,277,3,16
49,278,11,20
50,279,14,3
51,280,9,4
52,281,13,6
53,282,10,8
54,283,5,11
55,284,20,12
56,285,2,15
57,286,16,17
58,287,7,18
59,288,1,19
60,289,11,1
61,290,8,2
62,291,18,5
63,292,6,7
64,293,15,10
65,294,12,9
66,295,3,13
67,296,17,14
68,297,4,16
69,298,19,20
70,299,7,3
71,300,14,4
72,301,5,6
73,302,20,8
74,303,2,11
75,304,10,12
76,305,1,15
77,306,13,17
78,307,16,18
79,308,9,19
80,309,8,1
81,310,12,2
82,311,3,5
83,312,17,7
84,313,11,10
85,314,18,9
86,315,4,13
87,316,19,14
88,317,6,16
89,318,15,20
90,319,7,1
91,320,18,2
92,322,13,10
93,323,6,9
94,324,14,11
95,326,3,15
96,327,5,19
97,328,4,20
98,329,10,3
99,330,19,4
100,331,8,5
101,332,12,6
102,333,2,7
103,334,11,13
104,335,1,14
105,336,9,16
106,337,15,17
107,338,20,18
108,339,18,1
109,340,13,2
110,341,4,8
111,342,17,10
112,343,14,9
113,344,16,11
114,345,5,12
115,346,6,15
116,347,7,19
117,348,3,20
118,349,19,3
119,350,10,4
120,351,15,7
121,352,9,13
122,353,11,18
123,354,1,5
124,355,2,6
125,356,12,14
126,357,8,16
127,358,20,17
128,359,12,3
129,360,11,4
130,361,9,5
131,362,1,6
132,363,20,7
133,364,8,13
134,365,15,14
135,366,10,16
136,367,2,17
137,368,19,18
138,369,3,1
139,370,5,2
140,371,14,8
141,372,18,10
142,373,17,9
143,374,6,11
144,375,7,12
145,376,4,15
146,377,16,19
147,378,13,20
