,Name,code,Team,Chance of playing next round,Predicted Points,Live cost
0,Mesut Özil,37605,1,0.0,[-0.053454089141120376],6.7
3,Pierre-Emerick Aubameyang,54694,1,75.0,[3.2990450652538197],11.3
8,Granit Xhaka,84450,1,100.0,[1.7111912972884715],5.2
15,Nicolas Pépé,195735,1,100.0,[2.089011239515437],7.6
16,Lucas Torreira,198849,1,0.0,[-0.053454089141120376],4.7
17,Reiss Nelson,200641,1,100.0,[0.07480132141329238],5.1
19,Emile Smith Rowe,209289,1,100.0,[0.3894126559460354],4.2
20,Bukayo Saka,223340,1,100.0,[2.8664319476363715],5.1
21,Matteo Guendouzi,242166,1,0.0,[-0.053454089141120376],4.7
22,Gabriel Teodoro Martinelli Silva,444145,1,100.0,[0.40535385215926856],4.9
25,Willian Borges Da Silva,47431,1,100.0,[1.1069410953637688],7.5
27,Daniel Ceballos Fernández,182539,1,100.0,[0.8525542854114503],4.7
28,Mohamed Naser El Sayed Elneny,153256,1,100.0,[1.3524734730823398],4.2
31,Thomas Partey,167199,1,100.0,[0.7499611023008731],4.9
32,Martin Ødegaard,184029,1,100.0,[1.1475294098275524],5.8
33,Miguel Azeez,439482,1,,[-0.053454089141120376],4.5
37,Henri Lansbury,40564,2,0.0,[-0.053454089141120376],4.3
40,Conor Hourihane,85242,2,0.0,[0.11713201522224556],5.9
41,José Ignacio Peleteiro Romallo,89274,2,0.0,[-0.053454089141120376],5.9
44,Jack Grealish,114283,2,0.0,[0.04696126049495353],7.5
45,John McGinn,122806,2,,[1.180818419381058],5.5
47,Mahmoud Ahmed Ibrahim Hassan,148508,2,0.0,[1.2952786992627476],5.2
51,Marvelous Nakamba,184704,2,,[0.1393128933423828],4.3
52,Anwar El Ghazi,193488,2,100.0,[2.3027693458969445],5.2
59,Douglas Luiz Soares de Paulo,230046,2,100.0,[1.1222117775175373],4.8
60,Ross Barkley,88894,2,100.0,[1.435676054807169],5.8
63,Bertrand Traoré,110504,2,100.0,[1.9625788743698254],5.8
64,Jacob Ramsey,232653,2,,[0.6290834667524223],4.5
65,Morgan Sanson,122775,2,0.0,[0.0075474979296936],5.5
66,Kaine Hayden,465390,2,,[-0.053454089141120376],4.5
67,Carney Chukwuemeka,478912,2,,[-0.053454089141120376],4.5
