,ID,Name,Short_Name,strength_overall
0,1,Arsenal,ARS,1225.0
1,2,Aston Villa,AVL,1130.0
2,3,Brighton,BHA,1130.0
3,4,Burnley,BUR,1065.0
4,5,Chelsea,CHE,1265.0
5,6,Crystal Palace,CRY,1100.0
6,7,Everton,EVE,1190.0
7,8,Fulham,FUL,1095.0
8,9,Leicester,LEI,1250.0
9,10,Leeds,LEE,1165.0
10,11,Liverpool,LIV,1230.0
11,12,Man City,MCI,1350.0
12,13,Man Utd,MUN,1285.0
13,14,Newcastle,NEW,1060.0
14,15,Sheffield Utd,SHU,1020.0
15,16,Southampton,SOU,1080.0
16,17,Spurs,TOT,1220.0
17,18,West Brom,WBA,1045.0
18,19,West Ham,WHU,1245.0
19,20,Wolves,WOL,1095.0
